department,searches_caucasian,hits_caucasian,hitrate_caucasian,searches_noncaucasian,hits_noncaucasian,hitrate_noncaucasian,searches_noncaucasian_or_hispanic,hits_noncaucasian_or_hispanic,hitrate_noncaucasian_or_hispanic,searches_black,hits_black,hitrate_black,searches_hispanic,hits_hispanic,hitrate_hispanic,searches_black_or_hispanic,hits_black_or_hispanic,hitrate_black_or_hispanic
Manchester,25,10,0.4,48,18,0.375,61,25,0.4098360655737705,48,18,0.375,38,17,0,61,25,0.4098360655737705
Milford,138,30,0.21739130434782608,206,38,0.18446601941747573,249,47,0.18875502008032127,204,38,0.18627450980392157,182,39,0,248,47,0.18951612903225806
Granby,7,5,0.7142857142857143,7,5,0.7142857142857143,7,5,0.7142857142857143,7,5,0.7142857142857143,7,5,0,7,5,0.7142857142857143
Darien,18,7,0.3888888888888889,26,13,0.5,35,16,0.45714285714285713,26,13,0.5,27,10,0,35,16,0.45714285714285713
Norwich,104,29,0.27884615384615385,168,44,0.2619047619047619,196,46,0.23469387755102042,162,42,0.25925925925925924,136,33,0,194,46,0.23711340206185566
Derby,20,3,0.15,26,3,0.11538461538461539,28,3,0.10714285714285714,26,3,0.11538461538461539,22,3,0,28,3,0.10714285714285714
Easton,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0,1,0,0.0
West Haven,21,5,0.23809523809523808,36,7,0.19444444444444445,46,7,0.15217391304347827,36,7,0.19444444444444445,31,5,0,46,7,0.15217391304347827
Groton Town,8,4,0.5,13,5,0.38461538461538464,14,5,0.35714285714285715,13,5,0.38461538461538464,9,4,0,14,5,0.35714285714285715
Hamden,16,5,0.3125,54,8,0.14814814814814814,58,8,0.13793103448275862,42,7,0.16666666666666666,20,5,0,58,8,0.13793103448275862
North Haven,31,8,0.25806451612903225,40,8,0.2,47,9,0.19148936170212766,37,8,0.21621621621621623,39,9,0,47,9,0.19148936170212766
State Police - Troop E,88,20,0.22727272727272727,108,21,0.19444444444444445,126,22,0.1746031746031746,108,21,0.19444444444444445,106,21,0,126,22,0.1746031746031746
State Police - Troop B,36,6,0.16666666666666666,44,10,0.22727272727272727,49,10,0.20408163265306123,42,8,0.19047619047619047,43,8,0,49,10,0.20408163265306123
Berlin,8,2,0.25,8,2,0.25,9,2,0.2222222222222222,8,2,0.25,9,2,0,9,2,0.2222222222222222
North Branford,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0,3,1,0.3333333333333333
Guilford,5,2,0.4,5,2,0.4,5,2,0.4,5,2,0.4,5,2,0,5,2,0.4
Groton City,17,5,0.29411764705882354,32,8,0.25,38,9,0.23684210526315788,30,7,0.23333333333333334,25,7,0,38,9,0.23684210526315788
Windsor,2,0,0.0,3,0,0.0,4,1,0.25,3,0,0.0,3,1,0,4,1,0.25
Fairfield,13,4,0.3076923076923077,26,8,0.3076923076923077,28,8,0.2857142857142857,25,8,0.32,16,4,0,28,8,0.2857142857142857
Danbury,11,3,0.2727272727272727,15,4,0.26666666666666666,18,5,0.2777777777777778,14,4,0.2857142857142857,15,4,0,18,5,0.2777777777777778
New Milford,21,5,0.23809523809523808,24,5,0.20833333333333334,24,5,0.20833333333333334,23,5,0.21739130434782608,21,5,0,23,5,0.21739130434782608
Bridgeport,20,2,0.1,77,3,0.03896103896103896,119,3,0.025210084033613446,69,3,0.043478260869565216,66,2,0,115,3,0.02608695652173913
Waterbury,21,9,0.42857142857142855,40,10,0.25,63,12,0.19047619047619047,39,10,0.2564102564102564,45,11,0,63,12,0.19047619047619047
Madison,8,2,0.25,8,2,0.25,10,2,0.2,8,2,0.25,10,2,0,10,2,0.2
Ansonia,23,3,0.13043478260869565,25,3,0.12,29,4,0.13793103448275862,25,3,0.12,27,4,0,29,4,0.13793103448275862
Cheshire,32,16,0.5,38,17,0.4473684210526316,40,17,0.425,38,17,0.4473684210526316,34,16,0,40,17,0.425
West Hartford,208,99,0.47596153846153844,234,109,0.4658119658119658,286,120,0.4195804195804196,233,108,0.463519313304721,261,111,0,286,120,0.4195804195804196
State Police - Troop L,90,19,0.2111111111111111,103,19,0.18446601941747573,126,22,0.1746031746031746,100,19,0.19,114,22,0,125,22,0.176
Stratford,27,4,0.14814814814814814,51,8,0.1568627450980392,62,11,0.1774193548387097,45,8,0.17777777777777778,39,7,0,60,11,0.18333333333333332
Meriden,38,3,0.07894736842105263,69,15,0.21739130434782608,109,23,0.21100917431192662,68,15,0.22058823529411764,79,11,0,109,23,0.21100917431192662
Hartford,14,2,0.14285714285714285,45,12,0.26666666666666666,63,14,0.2222222222222222,45,12,0.26666666666666666,32,4,0,63,14,0.2222222222222222
Waterford,48,17,0.3541666666666667,58,23,0.39655172413793105,64,24,0.375,57,22,0.38596491228070173,55,19,0,64,24,0.375
UCONN,18,8,0.4444444444444444,23,10,0.43478260869565216,24,10,0.4166666666666667,22,9,0.4090909090909091,19,8,0,23,9,0.391304347826087
Cromwell,5,3,0.6,6,3,0.5,6,3,0.5,6,3,0.5,5,3,0,6,3,0.5
East Haven,4,0,0.0,4,0,0.0,4,0,0.0,4,0,0.0,4,0,0,4,0,0.0
Monroe,11,4,0.36363636363636365,12,4,0.3333333333333333,13,5,0.38461538461538464,12,4,0.3333333333333333,12,5,0,13,5,0.38461538461538464
State Police - Troop C,99,40,0.40404040404040403,127,43,0.33858267716535434,168,52,0.30952380952380953,123,43,0.34959349593495936,141,49,0,167,52,0.31137724550898205
Clinton,56,18,0.32142857142857145,56,18,0.32142857142857145,62,20,0.3225806451612903,56,18,0.32142857142857145,62,20,0,62,20,0.3225806451612903
Middletown,124,46,0.3709677419354839,173,56,0.3236994219653179,192,60,0.3125,173,56,0.3236994219653179,143,50,0,192,60,0.3125
Enfield,23,7,0.30434782608695654,27,8,0.2962962962962963,28,9,0.32142857142857145,26,7,0.2692307692307692,25,9,0,28,9,0.32142857142857145
SCSU,3,1,0.3333333333333333,11,4,0.36363636363636365,12,4,0.3333333333333333,10,4,0.4,4,1,0,11,4,0.36363636363636365
South Windsor,23,4,0.17391304347826086,32,6,0.1875,34,7,0.20588235294117646,31,6,0.1935483870967742,26,5,0,34,7,0.20588235294117646
Newington,22,2,0.09090909090909091,31,4,0.12903225806451613,46,5,0.10869565217391304,30,4,0.13333333333333333,37,3,0,45,5,0.1111111111111111
Putnam,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0,3,1,0.3333333333333333
Naugatuck,93,15,0.16129032258064516,120,23,0.19166666666666668,138,26,0.18840579710144928,117,22,0.18803418803418803,114,19,0,138,26,0.18840579710144928
Weston,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0,1,0,0.0
State Police - Troop F,54,22,0.4074074074074074,75,24,0.32,84,25,0.2976190476190476,72,24,0.3333333333333333,65,23,0,84,25,0.2976190476190476
Plymouth,41,3,0.07317073170731707,47,4,0.0851063829787234,57,5,0.08771929824561403,46,3,0.06521739130434782,52,5,0,57,5,0.08771929824561403
Torrington,74,14,0.1891891891891892,97,18,0.18556701030927836,106,21,0.19811320754716982,94,18,0.19148936170212766,86,17,0,106,21,0.19811320754716982
Orange,10,1,0.1,12,1,0.08333333333333333,13,1,0.07692307692307693,12,1,0.08333333333333333,11,1,0,13,1,0.07692307692307693
Plainville,91,23,0.25274725274725274,105,25,0.23809523809523808,124,36,0.2903225806451613,104,25,0.2403846153846154,110,34,0,123,36,0.2926829268292683
Plainfield,14,5,0.35714285714285715,15,6,0.4,15,6,0.4,15,6,0.4,14,5,0,15,6,0.4
Coventry,6,2,0.3333333333333333,6,2,0.3333333333333333,7,3,0.42857142857142855,6,2,0.3333333333333333,7,3,0,7,3,0.42857142857142855
Winsted,1,0,0.0,1,0,0.0,2,0,0.0,1,0,0.0,2,0,0,2,0,0.0
East Hartford,35,12,0.34285714285714286,104,36,0.34615384615384615,143,45,0.3146853146853147,102,35,0.3431372549019608,75,22,0,142,45,0.31690140845070425
Wallingford,68,27,0.39705882352941174,82,32,0.3902439024390244,103,36,0.34951456310679613,80,32,0.4,89,31,0,101,36,0.3564356435643564
Canton,16,8,0.5,20,9,0.45,21,9,0.42857142857142855,19,9,0.47368421052631576,17,8,0,20,9,0.45
Bloomfield,2,0,0.0,13,2,0.15384615384615385,14,3,0.21428571428571427,12,2,0.16666666666666666,3,1,0,14,3,0.21428571428571427
East Windsor,5,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,5,0,0,8,0,0.0
State Police - Troop A,102,38,0.37254901960784315,165,57,0.34545454545454546,204,60,0.29411764705882354,164,56,0.34146341463414637,142,42,0,204,60,0.29411764705882354
Windsor Locks,8,0,0.0,10,1,0.1,10,1,0.1,10,1,0.1,8,0,0,10,1,0.1
New London,2,0,0.0,2,0,0.0,4,0,0.0,2,0,0.0,4,0,0,4,0,0.0
Thomaston,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0,1,0,0.0
State Police - Troop K,66,16,0.24242424242424243,88,24,0.2727272727272727,116,29,0.25,83,23,0.27710843373493976,98,22,0,116,29,0.25
State Police - Troop D,78,25,0.32051282051282054,94,33,0.35106382978723405,110,41,0.37272727272727274,93,32,0.34408602150537637,95,34,0,110,41,0.37272727272727274
Watertown,4,1,0.25,5,1,0.2,6,1,0.16666666666666666,5,1,0.2,5,1,0,6,1,0.16666666666666666
Vernon,55,18,0.32727272727272727,75,23,0.30666666666666664,86,24,0.27906976744186046,72,23,0.3194444444444444,66,19,0,83,24,0.2891566265060241
New Canaan,17,6,0.35294117647058826,19,7,0.3684210526315789,19,7,0.3684210526315789,18,6,0.3333333333333333,18,7,0,19,7,0.3684210526315789
Yale,4,2,0.5,15,3,0.2,22,8,0.36363636363636365,15,3,0.2,11,7,0,22,8,0.36363636363636365
Woodbridge,4,2,0.5,5,3,0.6,6,4,0.6666666666666666,5,3,0.6,5,3,0,6,4,0.6666666666666666
New Britain,30,10,0.3333333333333333,56,14,0.25,117,29,0.24786324786324787,55,13,0.23636363636363636,92,26,0,117,29,0.24786324786324787
Rocky Hill,23,4,0.17391304347826086,28,7,0.25,34,7,0.20588235294117646,28,7,0.25,29,4,0,34,7,0.20588235294117646
Avon,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0,3,1,0.3333333333333333
New Haven,64,17,0.265625,359,57,0.15877437325905291,443,73,0.16478555304740405,354,57,0.16101694915254236,152,33,0,442,73,0.16515837104072398
Bethel,7,5,0.7142857142857143,10,6,0.6,12,6,0.5,10,6,0.6,9,5,0,12,6,0.5
Bristol,25,6,0.24,29,6,0.20689655172413793,44,13,0.29545454545454547,29,6,0.20689655172413793,40,13,0,44,13,0.29545454545454547
Suffield,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0,1,0,0.0
Newtown,4,4,1.0,4,4,1.0,4,4,1.0,4,4,1.0,4,4,1,4,4,1.0
Old Saybrook,11,4,0.36363636363636365,13,4,0.3076923076923077,13,4,0.3076923076923077,13,4,0.3076923076923077,11,4,0,13,4,0.3076923076923077
State Police - Troop H,57,10,0.17543859649122806,128,20,0.15625,177,24,0.13559322033898305,125,20,0.16,108,14,0,176,24,0.13636363636363635
Wilton,5,4,0.8,5,4,0.8,6,4,0.6666666666666666,5,4,0.8,6,4,0,6,4,0.6666666666666666
Branford,60,16,0.26666666666666666,65,16,0.24615384615384617,69,16,0.2318840579710145,65,16,0.24615384615384617,64,16,0,69,16,0.2318840579710145
State Police - Troop G,40,8,0.2,109,20,0.1834862385321101,141,26,0.18439716312056736,101,18,0.1782178217821782,78,15,0,140,26,0.18571428571428572
Ridgefield,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0,3,1,0.3333333333333333
Wolcott,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0,1,0,0.0
Redding,2,0,0.0,2,0,0.0,4,0,0.0,2,0,0.0,4,0,0,4,0,0.0
Greenwich,9,2,0.2222222222222222,20,4,0.2,32,4,0.125,13,2,0.15384615384615385,23,3,0,32,4,0.125
State Police - Troop I,47,24,0.5106382978723404,77,27,0.35064935064935066,101,35,0.3465346534653465,75,27,0.36,71,32,0,99,35,0.35353535353535354
State Police - Other,22,5,0.22727272727272727,32,8,0.25,40,10,0.25,31,8,0.25806451612903225,31,7,0,40,10,0.25
Seymour,2,0,0.0,5,1,0.2,7,1,0.14285714285714285,5,1,0.2,4,0,0,7,1,0.14285714285714285
Simsbury,4,1,0.25,4,1,0.25,4,1,0.25,4,1,0.25,4,1,0,4,1,0.25
Shelton,5,0,0.0,6,0,0.0,7,0,0.0,6,0,0.0,6,0,0,7,0,0.0
Westport,72,16,0.2222222222222222,105,23,0.21904761904761905,120,24,0.2,102,22,0.21568627450980393,87,17,0,117,23,0.19658119658119658
Norwalk,74,8,0.10810810810810811,211,27,0.12796208530805686,279,40,0.14336917562724014,166,22,0.13253012048192772,145,21,0,278,40,0.14388489208633093
Farmington,6,1,0.16666666666666666,6,1,0.16666666666666666,8,1,0.125,6,1,0.16666666666666666,8,1,0,8,1,0.125
Wethersfield,92,14,0.15217391304347827,129,20,0.15503875968992248,190,31,0.1631578947368421,128,20,0.15625,153,25,0,189,31,0.164021164021164
Glastonbury,59,22,0.3728813559322034,77,29,0.37662337662337664,88,32,0.36363636363636365,74,28,0.3783783783783784,72,26,0,87,32,0.367816091954023
Trumbull,13,4,0.3076923076923077,20,7,0.35,25,9,0.36,19,7,0.3684210526315789,18,6,0,24,9,0.375
Stonington,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0,3,1,0.3333333333333333
East Hampton,8,4,0.5,10,5,0.5,10,5,0.5,10,5,0.5,8,4,0,10,5,0.5
Southington,10,8,0.8,11,8,0.7272727272727273,12,9,0.75,11,8,0.7272727272727273,11,9,0,12,9,0.75
Willimantic,56,20,0.35714285714285715,75,25,0.3333333333333333,129,35,0.2713178294573643,70,24,0.34285714285714286,111,30,0,128,35,0.2734375
